dataset_id	method_id	dataset_orig_id	dataset_subtask	dataset_phase	dataset_source	dataset_geo_id	dataset_organism	dataset_num_cells	dataset_num_features_mod1	dataset_mod1_modality	dataset_num_batches	dataset_num_cell_types	dataset_num_features_mod2	dataset_mod2_modality	method_task	method_label	method_description	method_maintainer	method_num_authors	method_language	method_type	method_doi	metric_id	value
openproblems_bmmc_cite_phase1_PM_adt2gex	baseline_knnr_py	openproblems_bmmc_cite_phase1	ADT2GEX	phase1	openproblems	NA	human	43976	13953	GEX	6	46	134	ADT	predict_modality	NA	K-nearest neighbor regression in Python.	Bastian Rieck	1	python	NA	NA	correct_format	1
openproblems_bmmc_cite_phase1_PM_adt2gex	baseline_knnr_r	openproblems_bmmc_cite_phase1	ADT2GEX	phase1	openproblems	NA	human	43976	13953	GEX	6	46	134	ADT	predict_modality	KNNR	K-nearest neighbor regression in R.	Robrecht Cannoodt	1	r	baseline	NA	correct_format	1
openproblems_bmmc_cite_phase1_PM_adt2gex	baseline_lm	openproblems_bmmc_cite_phase1	ADT2GEX	phase1	openproblems	NA	human	43976	13953	GEX	6	46	134	ADT	predict_modality	Linear Model	Linear model regression.	Robrecht Cannoodt	1	r	baseline	NA	correct_format	1
openproblems_bmmc_cite_phase1_PM_adt2gex	baseline_randomforest	openproblems_bmmc_cite_phase1	ADT2GEX	phase1	openproblems	NA	human	43976	13953	GEX	6	46	134	ADT	predict_modality	Random Forests	Random forest regression.	Robrecht Cannoodt	1	r	baseline	NA	correct_format	0
openproblems_bmmc_cite_phase1_PM_adt2gex	dummy_meanpergene	openproblems_bmmc_cite_phase1	ADT2GEX	phase1	openproblems	NA	human	43976	13953	GEX	6	46	134	ADT	predict_modality	Mean per gene	Returns the mean expression value per gene.	Alex Tong	2	python	negative_control	NA	correct_format	1
openproblems_bmmc_cite_phase1_PM_adt2gex	dummy_random	openproblems_bmmc_cite_phase1	ADT2GEX	phase1	openproblems	NA	human	43976	13953	GEX	6	46	134	ADT	predict_modality	Random Profiles	Returns random training profiles.	Robrecht Cannoodt	1	r	negative_control	NA	correct_format	1
openproblems_bmmc_cite_phase1_PM_adt2gex	dummy_solution	openproblems_bmmc_cite_phase1	ADT2GEX	phase1	openproblems	NA	human	43976	13953	GEX	6	46	134	ADT	predict_modality	Solution	Returns the ground-truth solution.	Robrecht Cannoodt	1	r	positive_control	NA	correct_format	1
openproblems_bmmc_cite_phase1_PM_adt2gex	dummy_zeros	openproblems_bmmc_cite_phase1	ADT2GEX	phase1	openproblems	NA	human	43976	13953	GEX	6	46	134	ADT	predict_modality	Zeros	Returns a prediction consisting of all zeros.	Alex Tong	2	python	negative_control	NA	correct_format	1
openproblems_bmmc_cite_phase1_PM_gex2adt	baseline_knnr_py	openproblems_bmmc_cite_phase1	GEX2ADT	phase1	openproblems	NA	human	43976	13953	GEX	6	46	134	ADT	predict_modality	NA	K-nearest neighbor regression in Python.	Bastian Rieck	1	python	NA	NA	correct_format	1
openproblems_bmmc_cite_phase1_PM_gex2adt	baseline_knnr_r	openproblems_bmmc_cite_phase1	GEX2ADT	phase1	openproblems	NA	human	43976	13953	GEX	6	46	134	ADT	predict_modality	KNNR	K-nearest neighbor regression in R.	Robrecht Cannoodt	1	r	baseline	NA	correct_format	1
